teilnehmer_id,username,vorname,nachname,spieler_alter,email,telefon
1,user_1,Julia,Huber,55,julia.huber@edugames.ch,077 725 65
2,user_2,Elena,Meier,31,elena.meier@edugames.ch,078 987 77
3,user_3,Elena,,8,elena.schmid@edugames.ch,078 993 21
4,user_4,Lukas,Keller,28,lukas.keller@edugames.ch,077 269 99
5,user_5,Lukas,Müller,65,lukas.müller@edugames.ch,079 568 23
6,user_6,Max,Schmid,30,max.schmid@edugames.ch,078 746 41
7,user_7,Beat,Weber,31,beat.weber@edugames.ch,077 106 33
8,user_8,Beat,Schmid,35,beat.schmid@edugames.ch,078 734 84
9,user_9,Max,Suter,12,max.suter@edugames.ch,079 125 98
10,user_10,Elena,Müller,43,elena.müller@edugames.ch,079 800 75
11,user_00,Tim,Weber,69,tim.weber@edugames.ch,076 309 76
12,user_12,Anna,Schmid,27,anna.schmid@edugames.ch,078 794 77
13,user_13,Sarah,Schmid,37,sarah.schmid@edugames.ch,077 763 50
16,user_16,Elena,Suter,48,elena.suter@edugames.ch,079 169 51
19,user_19,Elena,Weber,64,elena.weber@edugames.ch,076 739 14
20,user_20,Lukas,Suter,63,lukas.suter@edugames.ch,077 231 91
21,user_21,Elena,,44,elena.keller@edugames.ch,078 290 74
22,user_22,Anna,Müller,56,anna.müller@edugames.ch,076 630 95
25,user_25,Lukas,Meier,29,lukas.meier@edugames.ch,079 912 52
26,user_26,Sarah,Weber,49,sarah.weber@edugames.ch,078 409 16
29,user_29,Julia,Schmid,57,julia.schmid@edugames.ch,078 855 22
31,user_31,Tim,Keller,29,tim.keller@edugames.ch,078 344 89
34,user_34,Beat,Meier,22,beat.meier@edugames.ch,076 150 81
38,user_38,Julia,Müller,68,julia.müller@edugames.ch,076 723 54
39,user_39,Max,Weber,12,max.weber@edugames.ch,078 163 18
43,user_43,Anna,,42,anna.keller@edugames.ch,077 262 89
47,user_47,Tim,Müller,12,tim.müller@edugames.ch,077 169 25
48,user_48,Tim,Schmid,6,tim.schmid@edugames.ch,079 112 79
52,user_52,Beat,Keller,65,beat.keller@edugames.ch,079 539 63
53,user_53,Lukas,Weber,21,lukas.weber@edugames.ch,077 724 49
55,user_55,Tim,,30,tim.suter@edugames.ch,079 526 93
57,user_57,Sarah,Huber,17,sarah.huber@edugames.ch,076 534 92
63,user_63,Anna,Meier,63,anna.meier@edugames.ch,079 343 76
65,user_65,Tim,Meier,36,tim.meier@edugames.ch,077 446 21
73,user_73,Lukas,Huber,59,lukas.huber@edugames.ch,079 537 50
77,user_77,Lukas,Schmid,37,lukas.schmid@edugames.ch,079 967 96
78,user_78,Sarah,Meier,11,sarah.meier@edugames.ch,079 338 73
79,user_79,Beat,Suter,56,beat.suter@edugames.ch,076 988 23
80,user_80,Anna,,70,anna.suter@edugames.ch,076 965 86
89,user_89,Anna,Weber,59,anna.weber@edugames.ch,078 701 34
95,user_95,Julia,Keller,35,julia.keller@edugames.ch,077 111 31
